Figure generated with AnalysisWaterTAP tools
Water recovery (%),RO,,Pumps,4 stage LSRRO
51.3555121498423,0.03239823001228961,0.2867645276835543,0.18386369359672433,0.5370380690606263
52.382489167863945,0.03212869842757921,0.2885081329092967,0.1832750801252805,0.5376405492112559
53.40944899356307,0.03187268338348531,0.2905065591648352,0.18285534880496948,0.5386944361700495
54.43638982931511,0.03163102499203961,0.2927677881421765,0.18260511851714983,0.5402100526860684
55.46330960827586,0.03140477772062936,0.29530119523200193,0.18252584617690462,0.5422003926365987
56.490205944063774,0.031195239720967514,0.2981176431558734,0.1826198488512498,0.5446812969000535
57.51707606951319,0.031003988555107366,0.30122959461188265,0.18289033636652494,0.5476716718448754
58.54391676176884,0.030832924756496894,0.30465124588196113,0.18334145498603502,0.5511937559115289
59.570724254790456,0.030684315269243714,0.3083986962962966,0.18397835043110453,0.5552734411448111
60.59749410760602,0.030560897664669507,0.3124900811259896,0.18480720633611397,0.5599406581798524
61.624221089516354,0.030465902476728465,0.31694585796130903,0.18583537101271988,0.5652298351677008
62.65089897916572,0.030403204145280187,0.32178898494772545,0.18707141554902537,0.5711804435360133
63.67634620301248,0.0324458220298726,0.3244381860585245,0.1871148659528057,0.5780603710713808
64.69762576621089,0.041406822594138665,0.32113048997011695,0.1839479012857874,0.5899554570490231
65.71650369288629,0.05387612330827295,0.3180664464427978,0.18088644653408845,0.609391564269516
66.73232548868798,0.07091245624375665,0.31540976062574205,0.17792719882551794,0.638699449491426
67.78430746059992,0.039082288932812646,0.35547235899232066,0.2513739321327369,0.686956292531404
68.81263158228622,0.03834906118571905,0.3595858300566687,0.25593056945859455,0.6941231896242478
69.83931338068918,0.040619120349219655,0.36269080978777807,0.2560195375086575,0.7019706568255869
70.86612780207825,0.04270447278890778,0.3668478874618792,0.2569162976640595,0.7112993509495666
71.89267200031625,0.04552161912655107,0.3709491627735867,0.2579262392304217,0.7221855664286594
72.91906580420957,0.04879420624109342,0.37570550974723266,0.25956472987606405,0.7352890188477208
73.94526640376527,0.052639941427000014,0.38126012917669505,0.2619460191471963,0.7511084501743999
74.9712130089068,0.05721894440376735,0.38779583780633003,0.26521778020626047,0.7703025846292945
75.99681631698336,0.06275399440295462,0.3955477842366933,0.2695717518353737,0.7937549919415222
77.02193960982865,0.06956376142386515,0.40481881204786324,0.2752567001476911,0.8226705344426226
78.04636259749788,0.07811955263402144,0.41599503649519476,0.28259173829001494,0.8587205907314124
79.06970703305824,0.08914786906025027,0.4295503740861439,0.2919708137114105,0.9042623091211046
80.10205438139275,0.0843101116038794,0.4575564403768424,0.33206654687139037,0.9624458043038618
81.12654525801078,0.09431966732513565,0.47459982892732977,0.34259725989518786,1.0105387644402772
82.14942548233327,0.1078929430884244,0.4949133337159609,0.3558840884033806,1.0719633498209495
83.16916252683761,0.12730737511773282,0.519196561689133,0.3724889096677688,1.1526496736043697
84.2002644245185,0.12873108220436927,0.5623418769287083,0.41903413028399195,1.2452574542693182
85.2186838710121,0.15215172073576474,0.5969101243377471,0.44250728293689484,1.351309486087265
86.2438529623417,0.1672814026497448,0.6531901163705658,0.49629077082669093,1.4923866581191796
87.2586858687026,0.2021436795088528,0.7071370436205596,0.5339686899114044,1.6554765993971154
88.28525863984379,0.24428516524081334,0.8025414923119367,0.6051237670543455,1.90842235011169
nan,,,,
